City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,ballina,-28.8667,153.5667,29.45,64,75,3.51,AU,1675646125
202,lasa,46.6166,10.7002,-2.21,92,49,2.69,IT,1675646211
203,dedovichi,57.5517,29.9502,-5.51,95,100,4.72,RU,1675646212
204,cuiluan,47.72,128.648,-16.33,87,100,0.99,CN,1675646213
205,fort nelson,58.8053,-122.7002,-16.14,81,0,1.03,CA,1675646213
206,angoche,-16.2325,39.9086,24.62,88,97,2.62,MZ,1675646213
207,port elizabeth,-33.918,25.5701,23.94,94,75,5.66,ZA,1675646186
208,hilo,19.7297,-155.09,25.71,88,75,2.68,US,1675645975
209,trairi,-3.2778,-39.2689,25.42,85,100,2.84,BR,1675646073
210,marawi,7.9986,124.2928,24.7,66,45,1.03,PH,1675646215
211,grand gaube,-20.0064,57.6608,26.32,79,100,1.34,MU,1675646215
212,rio gallegos,-51.6226,-69.2181,13.03,71,40,6.17,AR,1675646216
213,hattiesburg,31.3271,-89.2903,12.16,81,0,0.0,US,1675646216
214,saldanha,-33.0117,17.9442,17.85,94,0,4.26,ZA,1675645954
215,carutapera,-1.195,-46.02,24.51,93,100,3.0,BR,1675646217
216,fare,-16.7,-151.0167,27.48,74,97,6.7,PF,1675646217
217,berlevag,70.8578,29.0864,4.0,81,100,11.83,NO,1675646218
218,camopi,3.1655,-52.3158,22.05,99,100,1.56,GF,1675646218
219,brazzaville,-4.2658,15.2832,23.76,86,100,0.73,CG,1675646219
220,la ronge,55.1001,-105.2842,-4.25,96,100,2.66,CA,1675646132
221,cidreira,-30.1811,-50.2056,23.0,81,100,3.93,BR,1675646206
222,snezhnogorsk,69.1933,33.2531,-12.12,95,100,5.91,RU,1675646219
223,mekhe,15.1097,-16.6218,17.88,56,33,5.6,SN,1675646220
224,galbshtadt,53.2264,78.9845,-11.37,96,100,2.6,RU,1675646220
225,brokopondo,4.75,-55.1667,23.64,89,100,4.91,SR,1675646221
226,rocha,-34.4833,-54.3333,17.39,88,0,1.96,UY,1675646136
227,bartlesville,36.7473,-95.9808,11.21,50,0,0.45,US,1675646223
228,vao,-22.6667,167.4833,26.22,84,33,7.03,NC,1675646224
229,saint-ambroise,48.5501,-71.3324,-11.35,97,100,1.14,CA,1675646225
230,meulaboh,4.1363,96.1285,24.49,86,100,2.85,ID,1675646226
231,gobindpur,22.6333,86.0667,12.71,35,0,0.68,IN,1675646227
232,kalmunai,7.4167,81.8167,24.28,88,100,3.66,LK,1675646228
233,kidal,18.4411,1.4078,22.01,12,3,2.4,ML,1675646228
234,wanning,18.8003,110.3967,23.42,83,100,1.07,CN,1675645980
235,nadym,65.5333,72.5167,-24.83,100,100,1.97,RU,1675646229
236,kawalu,-7.3817,108.2082,24.3,74,92,0.82,ID,1675646230
237,beaverlodge,55.2166,-119.4361,1.63,68,5,8.67,CA,1675646131
238,oriximina,-1.7656,-55.8661,23.49,94,37,1.36,BR,1675646231
239,saint-georges,12.0564,-61.7485,25.82,78,20,10.29,GD,1675646232
240,clyde river,70.4692,-68.5914,-29.87,69,0,3.6,CA,1675646234
241,hithadhoo,-0.6,73.0833,27.18,70,97,4.68,MV,1675646200
242,davila,18.4726,120.5763,26.99,69,72,1.57,PH,1675646234
243,mahebourg,-20.4081,57.7,26.25,88,40,1.54,MU,1675646235
244,bay roberts,47.5999,-53.2648,-3.3,81,78,2.24,CA,1675646237
245,soe,-9.8607,124.284,22.42,80,80,0.47,ID,1675646043
246,yolombo,6.5984,-75.0114,16.55,91,34,0.93,CO,1675645984
247,katobu,-4.9408,122.5276,27.81,76,100,2.51,ID,1675646239
248,constitucion,-35.3333,-72.4167,14.38,95,14,2.14,CL,1675646106
249,khandyga,62.6667,135.6,-35.04,98,99,0.03,RU,1675646046
250,ankang,32.68,109.0172,8.43,57,100,0.59,CN,1675646242
251,saint anthony,45.0205,-93.218,-3.22,71,0,2.06,US,1675646214
252,porto novo,6.4965,2.6036,26.38,87,100,3.19,BJ,1675646243
253,markova,48.6758,24.4138,-7.35,96,100,2.5,UA,1675645987
254,tiksi,71.6872,128.8694,-31.82,100,100,1.52,RU,1675646006
255,mpanda,-6.3655,31.0409,16.63,96,83,1.0,TZ,1675645987
256,staryy nadym,65.6118,72.6842,-24.94,100,100,1.77,RU,1675646246
